step,k,minCalibratedJointProbability,maxLegs,maxCombinedOdds,capMin,capMax,recencyWeighting,nLeagueMin,includeConf,trainCoupons,trainHitRate,trainRoi,testCoupons,testHitRate,testRoi,testMaxDrawdown,verdict
1,20,0.4,3,6,0.1,0.85,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
1,20,0.4,3,6,0.1,0.9,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
1,20,0.4,3,6,0.15,0.8,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
1,20,0.4,3,6,0.15,0.85,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
1,20,0.4,3,6,0.15,0.9,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
1,20,0.45,3,6,0.05,0.8,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
1,20,0.45,3,6,0.05,0.85,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
1,20,0.45,3,6,0.05,0.9,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
1,20,0.45,3,6,0.1,0.8,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
1,20,0.45,3,6,0.1,0.85,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
1,20,0.45,3,6,0.1,0.9,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
